Time(ms),Main(mA),Main Voltage(V),
1756273267733053,66.78761832859051,4.19325,
1756273267733054,65.4371333991521,4.192,
1756273267733054,67.40147511469888,4.189,
1756273267733055,65.9282188280388,4.19025,
1756273267733055,67.03316104303386,4.1935,
1756273267733056,64.82327661304373,4.1935,
1756273267733056,65.06881932748708,4.1930000000000005,
1756273267733057,65.19159068470876,4.1922500000000005,
1756273267733057,65.80544747081711,4.19175,
1756273267733058,67.89256054358557,4.19325,
1756273267733058,65.68267611359545,4.1922500000000005,
1756273267733059,64.57773389860039,4.19325,
1756273267733059,65.80544747081711,4.1925,
1756273267733060,63.1044776119403,4.19425,
1756273267733060,64.33219118415704,4.194,
1756273267733061,62.613392183053605,4.1925,
1756273267733061,64.0866484697137,4.1905,
1756273267733062,63.595563040826995,4.19125,
1756273267733062,66.41930425692549,4.19175,
1756273267733063,67.15593240025554,4.19325,
1756273267733063,66.66484697136883,4.1922500000000005,
1756273267733064,68.62918868691561,4.194,
1756273267733065,66.91038968581218,4.19175,
1756273267733065,65.80544747081711,4.191,
1756273267733066,72.06678668912248,4.1930000000000005,
1756273267733066,69.48858818746733,4.19175,
1756273267733067,70.1024449735757,4.192,
1756273267733067,71.9440153319008,4.1885,
1756273267733068,72.68064347523085,4.1925,
1756273267733068,69.97967361635403,4.191,
1756273267733069,72.4351007607875,4.19025,
1756273267733069,67.7697891863639,4.1905,
1756273267733070,68.75196004413729,4.194,
1756273267733070,67.15593240025554,4.1930000000000005,
1756273267733071,67.89256054358557,4.19575,
1756273267733071,68.87473140135896,4.19,
1756273267733072,70.34798768801905,4.1895,
1756273267733072,69.97967361635403,4.19175,
1756273267733073,68.87473140135896,4.19025,
1756273267733074,72.18955804634416,4.192,
1756273267733074,68.50641732969395,4.194,
1756273267733075,71.0846158313491,4.191,
1756273267733075,70.83907311690574,4.19175,
1756273267733076,71.33015854579244,4.1905,
1756273267733076,72.55787211800917,4.19,
1756273267733077,74.15389976189094,4.19175,
1756273267733077,70.59353040246239,4.19125,
1756273267733078,66.17376154248214,4.19325,
1756273267733078,67.7697891863639,4.19375,
1756273267733079,67.15593240025554,4.19275,
1756273267733079,64.0866484697137,4.189,
1756273267733080,70.1024449735757,4.18725,
1756273267733080,76.11824147743772,4.18925,
1756273267733081,86.30826412683663,4.192,
1756273267733081,88.02706312794007,4.1925,
1756273267733082,86.79934955572332,4.189,
1756273267733082,89.37754805737848,4.18875,
1756273267733083,86.18549276961497,4.1885,
1756273267733083,82.87066612462976,4.1875,
1756273267733084,88.64091991404844,4.19175,
1756273267733084,88.7636912712701,4.1922500000000005,
1756273267733085,88.51814855682676,4.19325,
1756273267733085,86.30826412683663,4.192,
1756273267733086,87.78152041349672,4.19175,
1756273267733086,81.88849526685638,4.19075,
1756273267733087,67.15593240025554,4.191,
1756273267733087,81.88849526685638,4.19,
1756273267733088,86.55380684127998,4.19025,
1756273267733089,84.71223648295488,4.19175,
1756273267733089,89.37754805737848,4.18925,
1756273267733090,84.46669376851153,4.189,
1756273267733090,84.5894651257332,4.19025,
1756273267733091,86.67657819850166,4.1922500000000005,
1756273267733091,90.97357570126023,4.19125,
1756273267733092,102.02299785121087,4.1885,
1756273267733092,104.35565363842267,4.1905,
1756273267733093,101.4091410651025,4.189,
1756273267733093,99.0764852778907,4.19175,
1756273267733094,85.32609326906325,4.1915000000000004,
1756273267733094,76.11824147743772,4.191,
1756273267733095,87.4132063418317,4.191,
1756273267733095,89.13200534293513,4.18975,
1756273267733096,91.34188977292526,4.19175,
1756273267733096,88.02706312794007,4.1922500000000005,
1756273267733097,85.69440734072826,4.1915000000000004,
1756273267733097,87.16766362738835,4.1922500000000005,
1756273267733098,85.08055055461989,4.1895,
1756273267733098,85.44886462628492,4.1915000000000004,
1756273267733099,84.5894651257332,4.19125,
1756273267733099,84.5894651257332,4.1895,
1756273267733100,83.73006562518148,4.1905,
1756273267758706,77.1004123352111,4.194,
1756273267758711,65.80544747081711,4.192,
1756273267758711,76.97764097798942,4.19,
1756273267758712,82.99343748185144,4.19075,
1756273267758713,82.13403798129973,4.1895,
1756273267758714,82.87066612462976,4.18925,
1756273267758714,84.22115105406819,4.19025,
1756273267758715,83.23898019629479,4.188,
1756273267758716,83.11620883907311,4.18875,
1756273267758716,83.23898019629479,4.191,
1756273267758717,84.22115105406819,4.19175,
1756273267758718,84.09837969684651,4.19175,
1756273267758718,84.34392241128985,4.19375,
1756273267758719,84.71223648295488,4.19325,
1756273267758719,72.06678668912248,4.1925,
